campaign_id,name,tags
0,F/A-18C Raven One: Dominant Fury Campaign by Baltic Dragon,"raven one dominant fury campaign for the f/a-18c hornet is a prequel for the highly acclaimed raven one campaign based on the bestselling novel of the same title developed by baltic dragon all the missions were constructed with the active participation of author of the book kevin miller and vincent ""jell-o"" aiello host of the fighter pilot podcast - both retired us navy hornet pilots each with over 3000 career flight hours and numerous overseas deployments the campaign takes place 3 years before the events described in the novel during a deployment to the eastern mediterranean and offers a variety of different missions from training (faithfully recreating real life sorties flown from the deck of the aircraft carriers) through armed patrols and alert launches to power-projection striked 'fifteen immersive missions offering over 24 hours of gameplay' 'over 3400 voiceovers recorded by 89 different voice actors including jell-o kevin miller ward ""mooch"" carroll redkite growling sidewinder tricker spudknocker bel geode casmo tactical pascale and others' 'approximately 150 custom kneeboard pages charts and maps' english english"
1,MAD JF-17 Thunder Campaign by Stone Sky,this campaign guides the player through a gripping storyline about a pmc pilot named vitalii gerasimov you will take part in a series of campaigns called mad mutually assured destruction the usa has strengthened its military forces in the region iran is embroiled in a civil war but it continues to protect its interests in the persian gulf maritime traffic in the strait of hormuz is at a standstill and every day hostile sides enforce security protecting their oil tankers from enemy sabotage intelligence that iran still possesses nuclear weapons has added fuel to the fire the private military company rscs arrives in abu dhabi for an international military forum to receive several lucrative contracts demonstration performances combat operations day and night target designation air combat against the best fighters - all this will help you better understand all the combat capabilities of the jf-17 thunder in this campaign you have to 'join a civil war in an eastern region' 'perform the tasks of gaining air superiority;' 'carry out tasks in a group performing as a flight lead and as a wingman;' 'use high-precision weapons;' 'participate in large-scale battles and support ground forces;' 'use highway strip as an operational airfield;' 'participate in intelligence operations in the persian gulf' english english russian chinese
2,Spitfire Beware! Beware! Campaign by Reflected Simulations,during the winter of 1942-43 the air battle raging in the skies over europe was at its fiercest the focke wulfs and messerschmitts flown by the luftwaffe’s ’experten’ proved to be more than a worthy foe for the raf’s new spitfire mkix-s the air supremacy of the allies was still just a distant dream in the thickest of this battle stood the biggin hill wing with 611 (west lancashire) and 340 (ile de france) squadrons as a result of thorough research in the national archives squadron records and combat reports reflected simulations managed to recreate 14 of these sorties down to the smallest details come join 611 squadron at the height of the air war over europe and experience what it was like to be a fighter pilot in the raf in the most realistic way that it’s ever been possible in a simulator key features '14 historical historical missions based on extensive research' '7 further missions and cut-scenes' 'detailed campaign documentation' 'realistic briefings and briefing images including separate pdf mission files' 'unique kneeboard cards and checklists for each mission' 'maps official forms and pilots notes' 'nearly a thousand specially recorded voice-over messages and radio broadcasts' 'historically accurate custom skins' 'a wide array of missions including rodeos circus practice flights and scrambles' english english
3,F-14B Operation Sandworm Campaign by Sandman Simulations,it is the year 1998 tension is building up in the persian gulf region violations of human rights demonstrations terminated by the military and executions of political prisoners in iran have led to financial sanctions set by united states and european union iran has responded with airspace violations and disruptions of commercial shipping diplomats are doing their best but the gulf states and the world are afraid of war carrier uss theodore roosevelt with air wing nine onboard has been sent to the region to prevent the situation slipping into open war welcome to operation sandworm! key features '12 immersive story-driven single-player missions' 'custom atc and pilot communication' 'custom briefing materials maps and kneeboard pages' english english
4,A-10C Operation Agile Spear Campaign by Combat King Simulations,"in a surprise move russia has again invaded georgia and the united nations is unable or unwilling to provide even the most basic military response to this attack initially only the united states commits a small but highly effective force of a-10c warthogs to help defend its black sea ally you are major ""took"" key a flight lead and instructor pilot assigned to the 74th fighter squadron moody air force base ga who will lead the military response against the invading russians operation agile spear is a 16-mission single player story-driven campaign that will test you and your aircraft to the limit do you have what it takes to repel the invading russian army? download operation agile spear and find out ""the campaign is great and extremely immersive!"" ian s "" it's a great campaign it's fun and entertaining i enjoyed it!"" yurgan s english english"
5,AV-8B Hormuz Freedom Campaign by SorelRo,"operation hormuz freedom is a fictional story-based campaign that will test your skill in using the av-8b harrier in a variety of missions while you operate with the vma-513 ""the flying nightmares"" on board lha-1 tarawa as part of a carrier group you are tasked to enforce the freedom of the high seas act and allow naval traffic through the strait of hormuz and protect the states in the persian gulf from any aggression from the islamic republic of iran the states in the persian gulf are not allowing any military operations out of the us bases in the persian gulf however awacs and re-fueling flights are still allowed to operate us navy and us marines will have to carry the load without any support from the us airforce campaign features '15 story-driven missions' 'over 4000 voiceovers' 'carrier ops and land ops' 'large variety of missions cas rescap anti-ship cap' 'detailed briefings kneeboard files and supporting documentation for each mission' english english"
6,MAD Campaign by Stone Sky,mad - mutually assured destruction the principle of deterrence founded on the notion that a nuclear attack by one superpower would be met with and overwhelming nuclear retaliation such as that both the attacker and the defender would be annihilated as a result both sides are guaranteed to be annihilated this would create such losses in both population and industrial capacity that society would cease to exist mad uh-1 or sa-342 this campaign will convey a gripping story about a pmc pilot named anton orlovskii you will take part in the series of campaigns called mad mutually assured destruction the usa has strengthened it’s military forces in the region iran is embroiled in a civil war but it continues to protect its interests in the persian gulf maritime traffic in the strait of hormuz is at a standstill and every day hostile sides enforce security protecting their oil tankers from enemy sabotage intelligence that iran still possesses nuclear weapons has added fuel to the fire a russian pmc called rscs has arrived in bandar abbas orlovskii is an experienced pilot he has experience of combat missions in syria and libya but he has never been so close to a real war in this campaign you have to main features 'join a civil war in an eastern region' 'perform combat missions in a radioactive zone after a nuclear blast;' 'carry out tasks in a group performing as a flight lead and as a wingman;' 'perform target designation in combat situations;' 'participate in large-scale battles and support ground forces;' 'engage in helicopter air to air combat' 'participate in intelligence operations in the persian gulf' 'the ability to complete the mission on two types of helicopters;' '10 narrative missions with english russian and chinese localization;' 'over 3000 voiced plot radio dialogs;' 'over 1000 triggers' 'new liveries for uh-1 jf-17 su-33 and su-27' english russian english russian chinese
7,F/A-18C Operation Cerberus North Campaign by Ground Pounder Sims,"civil war is raging in syria a number of factions fight for survival across the country while around them their neighbours watch the unfolding chaos nervously emboldened by the support of the russian federation the syrian armed forces strive to crush the breakaway democratic forces in the north whilst in the northeast a violent insurgency is adding fuel to a raging fire committed to protecting the syrian rebels nato forces under the 'joint syrian task force' launch operation cerberus north to establish a series of no fly zones across syria as the chain of events in this deadly conflict develops the regional powers are put on a collision course towards all out war following on from the events of the a-10c campaign 'operation persian freedom' operation cerberus north will pit raf exchange pilot david 'steep' hill and his new vmfa-232 squadron mates into a deep and immersive story driven campaign set in syria and the surrounding area based on months of research operation cerberus north offers an incredibly detailed and immersive scenario for hornet pilots to pit themselves against this highly immersive campaign is set across 16 missions - spread over 21 parts and will push your abilities to effectively operate the hornet in a range of mission types campaign features 'thrilling and immersive story that unfolds in intricate detail over the course of the campaign' ""extensive detailed documentation and briefings including a 98 page scenario 'intelligence briefing' 26 pages of spins and hundreds of pages of detailed briefing documents"" 'highly developed level of immersion and interaction most missions can be completed in numerous ways and will react and respond believably to your actions and performance' ""several custom built systems including a custom built 'jamming' system and a custom built 'jtac' system that will enhance your experience"" 'staging out of incirlik air base the campaign features a detailed custom built air traffic control system' 'fully voice acted by a range of actors with over 3000 lines of dialogue recorded' 'many optional conversations to take part in that will enhance the storyline if you wish or can be ignored if you prefer a quieter cockpit' ""a carefully constructed learning curve to develop the pilot's ability to operate in a complex high threat environment and ultimately enable the player to plan and execute complex missions"" english english"
8,UH-1H Paradise Lost Campaign by Reflected Simulations,1968 after a chinese-backed communist coup the philippines started a hostile expansion and its guerilla troops the so-called “fc” are now controlling the southern half of guam wo jack wilson is being sent into this strange conflict to serve his one year tour as a member of the 4th aviation battalion at andersen afb fly resupplies combat assaults dustoffs extractions artillery spotting psy war sniffers escorts and many other challenging missions put your skills to the test and learn what it was like to fly slicks and gunships 3 feet over the jungle in the late 1960s key features '12 historically accurate period correct missions based on extensive research' 'an elaborate fictional background story and cut-scenes' 'detailed campaign documentation' 'realistic briefings and briefing images including separate pdf mission files' 'unique kneeboard cards and checklists for each mission' 'nearly a thousand specially recorded voice-over messages' 'radio broadcasts and music' 'historically accurate custom skins' 'a wide array of missions for slick and gunship roles' english english
9,A-10C Iron Flag Part I Campaign by Baltic Dragon,iron flag is a training campaign for the a-10c ii tank killer module the goal of iron flag is to expand on the training missions that come with it and teach you new things not found there also go more in-depth on some of the things that are included with the module and explain some of the tactics and rationale behind employing the a-10 c its systems and weapons so that you and your hog emerge more lethal! baltic dragon and nicholas barnwell authors of the campaign tried to make iron flag as realistic as possible given the limitations within dcs and their knowledge they have leaned on real civilian and usaf pilots including a few a-10 drivers other subject matter experts and many within the dcs community to help them bring you the definitive a-10 training experience iron flag part 1 is split into 10 training missions that focus heavily on many of the systems used for flight navigation and emergencies including cdu functionality and usage tacan navigation ils landing emergency flight control (mrfcs) usage tad/sadl functionality and everyone's favorite aerial refueling part 1 of the campaign also introduces you to effective employment of the a-10c and its weapons with missions focusing on dsms and cmsp systems tgp usage/functionality air-to-air application of the gun and aim-9m and of course using the gau-8/a in its intended air-to-ground role! the combat employment will be covered in more depth in the second part of the campaign the campaign features '10 fully voiced-over missions' 'almost 3800 voiceovers totaling nearly 9 hours of audio' 'custom made maps briefings and kneeboards that will help you immerse into the missions and follow the training' english english
